CustomerID,CustomerName,Gender,Age,City,Region,SignupDate
1,Customer_1,Male,64,Mumbai,South,2024-08-02
2,Customer_2,Female,64,Jaipur,West,2021-08-17
3,Customer_3,Male,21,Mumbai,North,2021-02-21
4,Customer_4,Male,24,Hyderabad,North,2022-07-18
5,Customer_5,Male,62,Ahmedabad,North,2022-05-17
6,Customer_6,Female,52,Delhi,East,2022-04-03
7,Customer_7,Male,26,Kolkata,North,2021-10-13
8,Customer_8,Male,25,Bangalore,East,2021-07-29
9,Customer_9,Male,62,Pune,East,2024-10-17
10,Customer_10,Female,34,Lucknow,South,2024-01-22
11,Customer_11,Male,34,Delhi,South,2021-06-28
12,Customer_12,Male,50,Kolkata,North,2024-04-24
13,Customer_13,Male,49,Lucknow,West,2023-05-15
14,Customer_14,Male,25,Jaipur,North,2021-03-07
15,Customer_15,Female,36,Lucknow,South,2021-03-03
16,Customer_16,Male,55,Chennai,North,2021-07-11
17,Customer_17,Female,20,Delhi,South,2022-03-24
18,Customer_18,Female,22,Mumbai,North,2022-04-22
19,Customer_19,Female,30,Ahmedabad,West,2023-11-01
20,Customer_20,Male,64,Pune,North,2024-05-17
21,Customer_21,Female,63,Mumbai,West,2021-02-24
22,Customer_22,Male,48,Kolkata,West,2024-02-24
23,Customer_23,Female,33,Delhi,North,2022-02-12
24,Customer_24,Female,49,Ahmedabad,West,2025-01-06
25,Customer_25,Female,39,Lucknow,West,2024-08-23
26,Customer_26,Female,46,Delhi,South,2024-12-07
27,Customer_27,Female,39,Lucknow,South,2024-01-22
28,Customer_28,Female,60,Jaipur,West,2023-05-10
29,Customer_29,Female,20,Chennai,East,2022-03-28
30,Customer_30,Female,27,Hyderabad,North,2023-07-09
31,Customer_31,Male,59,Delhi,West,2024-04-21
32,Customer_32,Male,38,Kolkata,North,2022-07-24
33,Customer_33,Female,33,Lucknow,South,2021-01-14
34,Customer_34,Female,29,Mumbai,North,2021-11-23
35,Customer_35,Female,19,Jaipur,West,2024-11-30
36,Customer_36,Male,58,Kolkata,West,2023-05-16
37,Customer_37,Female,41,Pune,West,2022-11-28
38,Customer_38,Male,52,Hyderabad,West,2022-07-24
39,Customer_39,Male,47,Jaipur,East,2021-11-15
40,Customer_40,Male,47,Chennai,East,2022-03-17
41,Customer_41,Male,64,Hyderabad,East,2022-11-21
42,Customer_42,Male,52,Lucknow,West,2021-07-29
43,Customer_43,Female,36,Kolkata,East,2021-07-09
44,Customer_44,Female,25,Pune,North,2023-02-18
45,Customer_45,Female,43,Bangalore,West,2021-07-18
46,Customer_46,Female,57,Chennai,South,2023-01-06
47,Customer_47,Female,24,Ahmedabad,West,2022-12-06
48,Customer_48,Male,47,Lucknow,North,2024-05-21
49,Customer_49,Female,24,Bangalore,East,2022-06-26
50,Customer_50,Female,20,Delhi,West,2021-03-30
51,Customer_51,Male,18,Pune,East,2025-02-03
52,Customer_52,Female,53,Mumbai,West,2023-07-30
53,Customer_53,Male,42,Ahmedabad,North,2024-01-04
54,Customer_54,Female,54,Kolkata,West,2021-09-13
55,Customer_55,Male,18,Pune,East,2023-02-15
56,Customer_56,Female,32,Hyderabad,East,2021-06-11
57,Customer_57,Female,54,Jaipur,North,2024-02-05
58,Customer_58,Male,30,Hyderabad,West,2022-08-24
59,Customer_59,Male,57,Hyderabad,South,2024-07-11
60,Customer_60,Male,25,Delhi,West,2024-06-20
61,Customer_61,Male,22,Chennai,North,2023-01-11
62,Customer_62,Male,26,Mumbai,South,2024-03-28
63,Customer_63,Male,18,Ahmedabad,North,2022-01-29
64,Customer_64,Male,53,Chennai,West,2024-12-13
65,Customer_65,Male,52,Pune,South,2021-05-23
66,Customer_66,Female,19,Hyderabad,North,2021-04-04
67,Customer_67,Female,57,Delhi,East,2024-09-16
68,Customer_68,Male,40,Pune,South,2022-04-12
69,Customer_69,Female,26,Jaipur,South,2022-08-16
70,Customer_70,Female,51,Mumbai,North,2021-06-13
71,Customer_71,Female,63,Ahmedabad,East,2022-04-22
72,Customer_72,Female,31,Jaipur,South,2021-07-26
73,Customer_73,Male,21,Delhi,North,2023-02-18
74,Customer_74,Female,47,Mumbai,South,2022-07-24
75,Customer_75,Male,48,Pune,South,2023-07-18
76,Customer_76,Female,55,Hyderabad,South,2024-07-25
77,Customer_77,Female,28,Hyderabad,East,2023-01-18
78,Customer_78,Female,52,Lucknow,West,2021-11-30
79,Customer_79,Male,25,Hyderabad,West,2023-01-29
80,Customer_80,Female,20,Bangalore,East,2022-12-29
81,Customer_81,Male,31,Hyderabad,East,2022-03-06
82,Customer_82,Female,30,Bangalore,North,2024-10-04
83,Customer_83,Male,62,Kolkata,South,2022-07-01
84,Customer_84,Female,49,Bangalore,East,2024-12-08
85,Customer_85,Male,51,Mumbai,North,2024-10-31
86,Customer_86,Male,62,Jaipur,West,2024-08-20
87,Customer_87,Female,36,Mumbai,West,2021-05-27
88,Customer_88,Male,55,Jaipur,West,2024-06-01
89,Customer_89,Female,33,Lucknow,West,2024-07-24
90,Customer_90,Female,19,Kolkata,North,2021-12-17
91,Customer_91,Female,57,Jaipur,South,2023-12-30
92,Customer_92,Female,34,Jaipur,North,2025-02-02
93,Customer_93,Female,51,Delhi,South,2022-05-17
94,Customer_94,Female,59,Chennai,West,2021-12-01
95,Customer_95,Female,33,Chennai,East,2023-08-05
96,Customer_96,Female,55,Delhi,East,2023-02-17
97,Customer_97,Female,19,Hyderabad,East,2022-07-07
98,Customer_98,Female,19,Delhi,South,2024-08-03
99,Customer_99,Female,43,Jaipur,West,2024-11-10
100,Customer_100,Male,30,Jaipur,North,2024-02-15
101,Customer_101,Male,64,Delhi,East,2022-03-26
102,Customer_102,Female,48,Delhi,South,2024-11-03
103,Customer_103,Female,51,Hyderabad,East,2022-10-27
104,Customer_104,Female,56,Mumbai,North,2021-04-25
105,Customer_105,Female,20,Kolkata,West,2022-04-15
106,Customer_106,Female,25,Pune,North,2021-03-07
107,Customer_107,Female,40,Jaipur,West,2022-10-09
108,Customer_108,Female,31,Kolkata,West,2023-04-02
109,Customer_109,Female,44,Delhi,West,2022-07-03
110,Customer_110,Male,46,Hyderabad,East,2021-05-16
111,Customer_111,Female,56,Bangalore,North,2022-03-09
112,Customer_112,Male,56,Hyderabad,East,2024-03-07
113,Customer_113,Female,18,Ahmedabad,North,2025-01-10
114,Customer_114,Female,34,Ahmedabad,South,2022-10-07
115,Customer_115,Male,58,Kolkata,South,2022-03-12
116,Customer_116,Female,47,Chennai,North,2024-09-04
117,Customer_117,Male,30,Ahmedabad,North,2023-10-20
118,Customer_118,Female,38,Ahmedabad,North,2023-03-22
119,Customer_119,Female,36,Mumbai,North,2024-08-09
120,Customer_120,Male,36,Bangalore,West,2023-07-29
121,Customer_121,Female,42,Mumbai,East,2021-10-20
122,Customer_122,Male,39,Bangalore,West,2022-06-27
123,Customer_123,Female,48,Lucknow,East,2021-10-13
124,Customer_124,Male,34,Pune,East,2022-05-21
125,Customer_125,Male,40,Jaipur,East,2024-02-24
126,Customer_126,Female,49,Ahmedabad,West,2024-01-09
127,Customer_127,Female,27,Jaipur,North,2022-06-23
128,Customer_128,Male,27,Ahmedabad,West,2024-04-12
129,Customer_129,Female,53,Mumbai,West,2023-05-28
130,Customer_130,Female,25,Pune,East,2024-04-10
131,Customer_131,Female,37,Mumbai,South,2023-03-29
132,Customer_132,Male,49,Mumbai,South,2023-01-12
133,Customer_133,Male,31,Bangalore,West,2022-03-26
134,Customer_134,Male,45,Chennai,East,2021-10-11
135,Customer_135,Male,63,Hyderabad,West,2023-11-10
136,Customer_136,Male,41,Kolkata,West,2023-10-08
137,Customer_137,Male,32,Jaipur,North,2021-07-06
138,Customer_138,Male,39,Lucknow,East,2021-04-07
139,Customer_139,Male,47,Ahmedabad,South,2021-08-13
140,Customer_140,Male,21,Mumbai,South,2021-11-10
141,Customer_141,Female,30,Chennai,South,2024-07-09
142,Customer_142,Male,40,Mumbai,West,2021-11-24
143,Customer_143,Female,25,Pune,East,2024-10-25
144,Customer_144,Female,35,Bangalore,North,2023-05-15
145,Customer_145,Female,29,Lucknow,South,2024-05-06
146,Customer_146,Male,48,Hyderabad,East,2021-05-11
147,Customer_147,Male,31,Pune,South,2023-02-28
148,Customer_148,Male,51,Delhi,North,2023-02-21
149,Customer_149,Male,35,Lucknow,East,2024-05-05
150,Customer_150,Female,51,Mumbai,West,2023-08-17
151,Customer_151,Male,28,Pune,West,2023-12-20
152,Customer_152,Male,58,Hyderabad,South,2022-05-30
153,Customer_153,Male,29,Chennai,South,2024-02-08
154,Customer_154,Male,32,Chennai,East,2021-01-24
155,Customer_155,Male,48,Jaipur,North,2024-10-25
156,Customer_156,Female,46,Hyderabad,South,2025-01-16
157,Customer_157,Male,43,Chennai,East,2021-08-23
158,Customer_158,Female,35,Pune,North,2024-10-28
159,Customer_159,Male,49,Jaipur,South,2024-01-05
160,Customer_160,Female,39,Chennai,South,2022-07-01
161,Customer_161,Male,55,Lucknow,East,2024-08-05
162,Customer_162,Male,34,Bangalore,South,2022-11-28
163,Customer_163,Female,40,Delhi,West,2021-08-17
164,Customer_164,Female,41,Hyderabad,North,2022-08-25
165,Customer_165,Female,25,Pune,North,2023-06-10
166,Customer_166,Male,58,Ahmedabad,West,2021-11-20
167,Customer_167,Female,23,Mumbai,East,2023-07-19
168,Customer_168,Male,22,Pune,West,2021-01-07
169,Customer_169,Male,61,Chennai,West,2025-01-18
170,Customer_170,Female,46,Pune,North,2025-01-13
171,Customer_171,Female,45,Ahmedabad,East,2022-06-24
172,Customer_172,Male,28,Mumbai,South,2023-10-23
173,Customer_173,Male,18,Jaipur,West,2022-01-01
174,Customer_174,Female,60,Chennai,West,2023-11-06
175,Customer_175,Female,36,Kolkata,East,2021-08-06
176,Customer_176,Female,26,Chennai,West,2024-07-04
177,Customer_177,Male,44,Delhi,East,2022-09-04
178,Customer_178,Male,51,Kolkata,South,2024-08-01
179,Customer_179,Male,61,Delhi,East,2023-11-06
180,Customer_180,Male,21,Ahmedabad,South,2024-06-01
181,Customer_181,Male,53,Hyderabad,East,2022-02-12
182,Customer_182,Male,35,Mumbai,West,2021-11-10
183,Customer_183,Female,32,Bangalore,South,2023-02-05
184,Customer_184,Male,30,Jaipur,West,2021-11-27
185,Customer_185,Male,36,Bangalore,South,2024-01-10
186,Customer_186,Male,23,Lucknow,East,2023-12-23
187,Customer_187,Female,29,Lucknow,East,2021-01-02
188,Customer_188,Male,54,Ahmedabad,East,2024-05-11
189,Customer_189,Male,34,Hyderabad,North,2022-10-26
190,Customer_190,Female,40,Lucknow,North,2023-09-28
191,Customer_191,Male,43,Chennai,South,2021-02-09
192,Customer_192,Male,46,Pune,North,2021-08-18
193,Customer_193,Male,50,Delhi,East,2023-01-14
194,Customer_194,Male,44,Lucknow,North,2022-09-22
195,Customer_195,Male,42,Ahmedabad,North,2022-05-06
196,Customer_196,Female,27,Delhi,West,2021-04-29
197,Customer_197,Female,64,Chennai,South,2022-05-09
198,Customer_198,Female,40,Hyderabad,South,2024-03-07
199,Customer_199,Male,38,Mumbai,South,2021-06-11
200,Customer_200,Male,38,Bangalore,North,2021-06-25
201,Customer_201,Male,60,Chennai,East,2025-02-07
202,Customer_202,Female,30,Jaipur,West,2023-09-23
203,Customer_203,Male,54,Kolkata,South,2021-05-22
204,Customer_204,Male,50,Ahmedabad,North,2023-12-27
205,Customer_205,Female,41,Bangalore,East,2021-09-15
206,Customer_206,Male,61,Jaipur,West,2021-09-20
207,Customer_207,Female,28,Mumbai,West,2024-09-13
208,Customer_208,Female,34,Jaipur,South,2023-09-01
209,Customer_209,Female,21,Hyderabad,South,2024-01-31
210,Customer_210,Male,64,Kolkata,East,2021-12-05
211,Customer_211,Male,42,Delhi,North,2022-06-27
212,Customer_212,Male,47,Bangalore,East,2023-12-17
213,Customer_213,Male,26,Kolkata,South,2024-05-27
214,Customer_214,Male,38,Pune,East,2023-05-17
215,Customer_215,Male,37,Chennai,North,2022-03-10
216,Customer_216,Male,36,Pune,West,2024-01-10
217,Customer_217,Female,36,Chennai,West,2025-02-03
218,Customer_218,Male,29,Hyderabad,West,2024-11-13
219,Customer_219,Female,54,Kolkata,West,2022-02-16
220,Customer_220,Male,59,Mumbai,South,2024-12-31
221,Customer_221,Male,34,Lucknow,South,2022-10-01
222,Customer_222,Male,54,Jaipur,North,2023-03-29
223,Customer_223,Female,56,Lucknow,North,2024-10-07
224,Customer_224,Female,45,Kolkata,North,2024-08-23
225,Customer_225,Female,58,Pune,North,2023-02-04
226,Customer_226,Female,52,Lucknow,East,2023-06-17
227,Customer_227,Male,64,Ahmedabad,North,2023-11-26
228,Customer_228,Female,35,Lucknow,West,2023-07-14
229,Customer_229,Male,31,Chennai,West,2021-09-05
230,Customer_230,Male,52,Ahmedabad,West,2022-05-23
231,Customer_231,Female,61,Bangalore,East,2022-04-06
232,Customer_232,Female,58,Lucknow,North,2021-05-12
233,Customer_233,Female,24,Ahmedabad,West,2022-11-24
234,Customer_234,Female,58,Kolkata,West,2021-02-13
235,Customer_235,Female,30,Jaipur,West,2024-04-19
236,Customer_236,Female,35,Bangalore,West,2024-02-09
237,Customer_237,Female,54,Mumbai,South,2022-04-17
238,Customer_238,Female,30,Mumbai,North,2024-04-20
239,Customer_239,Male,53,Hyderabad,North,2022-03-28
240,Customer_240,Female,48,Lucknow,East,2021-01-15
241,Customer_241,Female,19,Jaipur,South,2021-05-26
242,Customer_242,Male,33,Delhi,East,2024-12-20
243,Customer_243,Female,26,Ahmedabad,West,2024-07-16
244,Customer_244,Male,26,Bangalore,East,2021-05-01
245,Customer_245,Male,55,Kolkata,West,2022-04-14
246,Customer_246,Female,28,Lucknow,West,2021-05-19
247,Customer_247,Male,39,Kolkata,North,2021-03-06
248,Customer_248,Male,50,Delhi,North,2022-11-08
249,Customer_249,Male,53,Hyderabad,North,2021-05-26
250,Customer_250,Male,62,Delhi,North,2023-11-19
251,Customer_251,Female,40,Chennai,North,2022-05-03
252,Customer_252,Male,62,Pune,South,2022-07-25
253,Customer_253,Female,62,Bangalore,North,2024-10-02
254,Customer_254,Male,51,Pune,East,2023-09-22
255,Customer_255,Male,26,Delhi,West,2022-03-15
256,Customer_256,Male,41,Hyderabad,North,2024-01-10
257,Customer_257,Male,25,Hyderabad,South,2021-09-28
258,Customer_258,Female,24,Mumbai,East,2025-01-21
259,Customer_259,Female,53,Lucknow,East,2024-03-15
260,Customer_260,Male,35,Mumbai,West,2024-03-26
261,Customer_261,Male,20,Bangalore,East,2023-08-27
